,comparison,correlation,p_val
83,MDA 7 vs HCC_AA 6,0.30330839851801733,3.653971699573366e-12
84,MDA 7 vs HCC_AA 7,0.07111023257844379,0.15889516497445455
85,MDA 7 vs HCC_AA 8,0.2812688187034209,3.2483898077026593e-10
86,MDA 7 vs HCC_AA 9,-0.07957956000910638,0.020543038789115845
87,MDA 7 vs HCC_AA 10,-0.128718360291394,0.0012714337288477632
88,MDA 7 vs HCC_AA 11,0.2325853158771151,1.0826954982711577e-06
89,MDA 8 vs HCC_AA 1,0.31308625389144296,9.513522883318065e-50
90,MDA 8 vs HCC_AA 2,0.23912301591764407,1.1530288674608026e-14
91,MDA 8 vs HCC_AA 3,0.12186389809641468,0.0029306543158247574
92,MDA 8 vs HCC_AA 4,-0.14799019757146192,1.6424949551371955e-08
93,MDA 8 vs HCC_AA 5,-0.1143802199208269,5.069830541631833e-08
94,MDA 8 vs HCC_AA 6,-0.545223808276657,1.3247810040934007e-43
95,MDA 8 vs HCC_AA 7,-0.09396764533928954,0.07178723447272141
96,MDA 8 vs HCC_AA 8,-0.16717599119966536,0.0002563531888785111
97,MDA 8 vs HCC_AA 9,0.12982912283798134,0.00022728053220519943
98,MDA 8 vs HCC_AA 10,-0.08632592914533214,0.026461133003825084
99,MDA 8 vs HCC_AA 11,-0.46267558065299724,3.304099019463537e-28
100,MDA 9 vs HCC_AA 1,-0.1287988199998553,7.706366927550646e-09
101,MDA 9 vs HCC_AA 2,-0.05312516655682695,0.10985089492302204
102,MDA 9 vs HCC_AA 3,0.12126397057432459,0.004854166246566534
103,MDA 9 vs HCC_AA 4,0.028898169975463624,0.2957653727419956
104,MDA 9 vs HCC_AA 5,0.08990789785237296,2.9308112141446734e-05
105,MDA 9 vs HCC_AA 6,0.2098164775840229,4.586679706542122e-06
106,MDA 9 vs HCC_AA 7,0.30228821631520364,1.717292066362265e-09
107,MDA 9 vs HCC_AA 8,0.08966102206860928,0.05464925250383189
108,MDA 9 vs HCC_AA 9,0.08062160289651939,0.02048486540705062
109,MDA 9 vs HCC_AA 10,-0.030068595048257495,0.46791790739754224
110,MDA 9 vs HCC_AA 11,0.026053979049158,0.5970781317731674
111,MDA 10 vs HCC_AA 1,-0.1282385001769987,6.840345074805666e-08
112,MDA 10 vs HCC_AA 2,-0.2252264703569631,2.6330464175958723e-11
113,MDA 10 vs HCC_AA 3,-0.375170019737857,6.856985092969788e-18
114,MDA 10 vs HCC_AA 4,0.30920783939367247,9.742239223879426e-30
115,MDA 10 vs HCC_AA 5,0.1743191597743208,5.4682318846614e-15
116,MDA 10 vs HCC_AA 6,0.19134373065273963,6.024942069872829e-05
117,MDA 10 vs HCC_AA 7,0.22276913200729315,4.330579765127533e-05
118,MDA 10 vs HCC_AA 8,0.10110827548052041,0.04072858281779914
119,MDA 10 vs HCC_AA 9,0.19299076591059178,2.1509917925229615e-07
120,MDA 10 vs HCC_AA 10,0.41183709001693264,1.6856430361776372e-24
121,MDA 10 vs HCC_AA 11,0.2561256783881241,2.2946960037694147e-07
122,MDA 11 vs HCC_AA 1,-0.2356787380524256,8.126951806926844e-25
123,MDA 11 vs HCC_AA 2,-0.1719628425494313,3.046318085349884e-07
124,MDA 11 vs HCC_AA 3,-0.212679703994728,1.139833797498835e-06
125,MDA 11 vs HCC_AA 4,0.1994109947343692,6.155922342164412e-13
126,MDA 11 vs HCC_AA 5,0.0695499856135435,0.002074864643095656
127,MDA 11 vs HCC_AA 6,0.35530408299229094,1.401829365957514e-15
128,MDA 11 vs HCC_AA 7,0.03149336579930253,0.5604769156696586
129,MDA 11 vs HCC_AA 8,0.13379775033256977,0.005791683594163314
130,MDA 11 vs HCC_AA 9,-0.03540439816163331,0.3411243005972997
131,MDA 11 vs HCC_AA 10,0.25396285653660944,4.609251643463298e-10
132,MDA 11 vs HCC_AA 11,0.29836255955451646,4.4021827269080106e-10
133,MDA 12 vs HCC_AA 1,0.20073038663059914,1.6760220626746346e-20
134,MDA 12 vs HCC_AA 2,0.28047167466259015,3.66389697250928e-20
135,MDA 12 vs HCC_AA 3,0.2132299518757448,1.8358366157946686e-07
136,MDA 12 vs HCC_AA 4,-0.3351378195306603,4.018007595749094e-40
137,MDA 12 vs HCC_AA 5,-0.17388267014627498,5.793882467489392e-17
138,MDA 12 vs HCC_AA 6,-0.3795351648917014,2.0887688814552006e-18
139,MDA 12 vs HCC_AA 7,-0.20539892876715762,7.210505747036985e-05
140,MDA 12 vs HCC_AA 8,-0.16696575211753603,0.00024951040847693526
141,MDA 12 vs HCC_AA 9,-0.1108358663758059,0.0013736635068480247
142,MDA 12 vs HCC_AA 10,-0.27697853575993436,2.4586671978987974e-13
143,MDA 12 vs HCC_AA 11,-0.41615989984426177,5.007010724252297e-21
144,MDA 13 vs HCC_AA 1,-0.13139663885223832,7.037864732517122e-10
145,MDA 13 vs HCC_AA 2,0.08706164755930323,0.004088863516549825
146,MDA 13 vs HCC_AA 3,0.24004489963647335,4.0657365239498214e-10
147,MDA 13 vs HCC_AA 4,-0.23780929870521023,1.3523556431455262e-22
148,MDA 13 vs HCC_AA 5,-0.13493453269275582,8.194077894511157e-12
149,MDA 13 vs HCC_AA 6,0.010976770225879872,0.8028085106451577
150,MDA 13 vs HCC_AA 7,-0.29800883179446,3.8231173624515903e-10
151,MDA 13 vs HCC_AA 8,-0.3374070706442749,4.548251221915106e-17
152,MDA 13 vs HCC_AA 9,-0.2801826489764926,2.1892462412634773e-19
153,MDA 13 vs HCC_AA 10,-0.12256735875546769,0.000744282559150676
154,MDA 13 vs HCC_AA 11,-0.24584372036335836,8.062428823007495e-09
155,MDA 14 vs HCC_AA 1,0.2125502997534192,5.484929550993615e-17
156,MDA 14 vs HCC_AA 2,0.33418938821000677,1.0592169557801166e-21
157,MDA 14 vs HCC_AA 3,0.3460735482451939,1.2560325065590141e-13
158,MDA 14 vs HCC_AA 4,-0.23064750310820636,8.746942061900641e-15
159,MDA 14 vs HCC_AA 5,-0.28377188375483153,2.6120358670208477e-33
160,MDA 14 vs HCC_AA 6,-0.21560131983160769,2.5448119406997837e-05
161,MDA 14 vs HCC_AA 7,-0.27701679577810834,1.4641067564210404e-06
162,MDA 14 vs HCC_AA 8,-0.3147307630066251,8.71587138720701e-11
163,MDA 14 vs HCC_AA 9,-0.2648174833729933,5.4575128906777855e-12
164,MDA 14 vs HCC_AA 10,-0.078310503987758,0.07637970688758522
165,MDA 14 vs HCC_AA 11,-0.40991903794493345,2.3347783074383225e-17
166,MDA 15 vs HCC_AA 1,-0.1175795716981169,5.541526166825609e-07
167,MDA 15 vs HCC_AA 2,-0.06944985433106383,0.03469252752594313
168,MDA 15 vs HCC_AA 3,-0.03415192510838591,0.41575176550120707
169,MDA 15 vs HCC_AA 4,0.08807917071160046,0.001280810865494434
170,MDA 15 vs HCC_AA 5,0.06941030142092744,0.0024425089264607496
171,MDA 15 vs HCC_AA 6,0.306358106497472,7.609022554909716e-12
172,MDA 15 vs HCC_AA 7,-0.15039033511191818,0.003737157816405523
173,MDA 15 vs HCC_AA 8,-0.05293474755437705,0.2505500933188557
174,MDA 15 vs HCC_AA 9,-0.08999641787591166,0.00808684077473879
175,MDA 15 vs HCC_AA 10,0.08345166709143675,0.03508110823347404
176,MDA 15 vs HCC_AA 11,0.31300829507767153,2.5522072121127712e-11
177,MDA 16 vs HCC_AA 1,-0.3559272189169003,2.1442119684413672e-08
178,MDA 16 vs HCC_AA 2,-0.2171343113516593,0.01769079880769767
179,MDA 16 vs HCC_AA 3,-0.27459305480195334,0.0067800143279885166
180,MDA 16 vs HCC_AA 4,0.08600093488686138,0.25504890811344066
181,MDA 16 vs HCC_AA 5,0.27831413869149724,4.216322681531836e-06
182,MDA 16 vs HCC_AA 6,0.38434343434343443,0.0037665927828553314
183,MDA 16 vs HCC_AA 7,0.42005993301604094,0.0006764739368324336
184,MDA 16 vs HCC_AA 8,0.36469921497838037,0.000699624266431085
185,MDA 16 vs HCC_AA 9,0.304628801431127,0.0004480244057254687
186,MDA 16 vs HCC_AA 10,0.15457102672292547,0.17099622047117521
187,MDA 16 vs HCC_AA 11,0.260905807168658,0.04406461017678241
188,MDA_LM vs HCC_AA_LM,-0.04729603831461971,0.03170593346449138
